COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,DFG,SUBGROUP,SUBGROUP_TYPE,PREV_REGISTERED TO TEST_MATH,PREV_NOT TESTED ** (See Below)_MATH,PREV_VALID SCORES_MATH,PREV_MEAN SCALE SCORE_MATH,PREV_L1 PERCENT_MATH,PREV_L2 PERCENT_MATH,PREV_L3 PERCENT_MATH,PREV_L4 PERCENT_MATH,PREV_L5 PERCENT_MATH,GRADE,PREV_REGISTERED TO TEST_LA,PREV_NOT TESTED ** (See Below)_LA,PREV_VALID SCORES_LA,PREV_MEAN SCALE SCORE_LA,PREV_L1 PERCENT_LA,PREV_L2 PERCENT_LA,PREV_L3 PERCENT_LA,PREV_L4 PERCENT_LA,PREV_L5 PERCENT_LA
01,ATLANTIC,0110,ATLANTIC CITY,300.0,BRIGHTON AVENUE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,58,734,8.6,27.6,27.6,36.2,0,3,*,*,57,725,29.8,19.3,21.1,29.8,0
01,ATLANTIC,0110,ATLANTIC CITY,,DISTRICT WIDE,A,TOTAL,ALL STUDENTS,574,21,553,726,17.4,28.4,32.7,19.3,2.2,3,561,20,541,718,32.7,26.2,22,18.3,.7
01,ATLANTIC,0570,BRIGANTINE CITY,10.0,BRIGANTINE ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,75,13,62,742,9.7,16.1,29,41.9,3.2,3,75,13,62,732,14.5,32.3,25.8,25.8,1.6
01,ATLANTIC,0570,BRIGANTINE CITY,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,75,13,62,742,9.7,16.1,29,41.9,3.2,3,75,13,62,732,14.5,32.3,25.8,25.8,1.6
01,ATLANTIC,0590,BUENA REGIONAL,45.0,COLLINGS LAKES ELEMENTARY SCHOOL,A,TOTAL,ALL STUDENTS,*,*,54,727,16.7,27.8,37,18.5,0,3,*,*,54,703,38.9,42.6,13,5.6,0
01,ATLANTIC,0590,BUENA REGIONAL,55.0,JOHN C. MILANESI ELEMENTARY SCHOOL,A,TOTAL,ALL STUDENTS,84,18,66,736,15.2,24.2,22.7,33.3,4.5,3,84,18,66,725,30.3,21.2,22.7,25.8,0
01,ATLANTIC,0590,BUENA REGIONAL,,DISTRICT WIDE,A,TOTAL,ALL STUDENTS,148,28,120,732,15.8,25.8,29.2,26.7,2.5,3,148,28,120,715,34.2,30.8,18.3,16.7,0
01,ATLANTIC,1300,EGG HARBOR CITY,20.0,CHARLES L. SPRAGG SCHOOL,A,TOTAL,ALL STUDENTS,*,*,53,726,13.2,32.1,37.7,17,0,3,*,*,53,724,30.2,18.9,26.4,24.5,0
01,ATLANTIC,1300,EGG HARBOR CITY,,DISTRICT WIDE,A,TOTAL,ALL STUDENTS,*,*,53,726,13.2,32.1,37.7,17,0,3,*,*,53,724,30.2,18.9,26.4,24.5,0
01,ATLANTIC,1310,EGG HARBOR TWP,33.0,CLAYTON J. DAVENPORT ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,229,14,215,739,11.2,20.5,31.6,34.4,2.3,3,230,14,216,737,16.2,16.2,27.8,38.4,1.4
01,ATLANTIC,1310,EGG HARBOR TWP,35.0,E. H. SLAYBAUGH ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,207,23,184,751,7.1,12.5,25.5,45.7,9.2,3,207,23,184,750,11.4,10.9,26.6,46.7,4.3
01,ATLANTIC,1310,EGG HARBOR TWP,50.0,H. RUSSEL SWIFT ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,98,752,6.1,10.2,33.7,37.8,12.2,3,*,*,98,749,10.2,17.3,20.4,46.9,5.1
01,ATLANTIC,1310,EGG HARBOR TWP,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,535,38,497,746,8.7,15.5,29.8,39.2,6.8,3,536,38,498,744,13.3,14.5,25.9,43.2,3.2
01,ATLANTIC,1410,ESTELL MANOR CITY,50.0,ESTELL MANOR ELEMENTARY SCHOOL,DE,TOTAL,ALL STUDENTS,*,*,17,754,17.6,5.9,11.8,52.9,11.8,3,*,*,17,754,11.8,11.8,17.6,52.9,5.9
01,ATLANTIC,1410,ESTELL MANOR CITY,,DISTRICT WIDE,DE,TOTAL,ALL STUDENTS,*,*,17,754,17.6,5.9,11.8,52.9,11.8,3,*,*,17,754,11.8,11.8,17.6,52.9,5.9
01,ATLANTIC,1540,FOLSOM BORO,50.0,FOLSOM ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,40,738,7.5,25,35,32.5,0,3,*,*,40,733,15,20,40,25,0
01,ATLANTIC,1540,FOLSOM BORO,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,*,*,40,738,7.5,25,35,32.5,0,3,*,*,40,733,15,20,40,25,0
01,ATLANTIC,1690,GALLOWAY TWP,15.0,ARTHUR RANN ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,90,746,4.4,20,35.6,33.3,6.7,3,*,*,90,742,10,21.1,25.6,42.2,1.1
01,ATLANTIC,1690,GALLOWAY TWP,45.0,REEDS ROAD ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,70,746,8.6,18.6,24.3,42.9,5.7,3,*,*,70,742,14.3,22.9,21.4,40,1.4
01,ATLANTIC,1690,GALLOWAY TWP,46.0,ROLAND ROGERS ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,63,747,7.9,11.1,34.9,41.3,4.8,3,*,*,63,739,14.3,15.9,27,41.3,1.6
01,ATLANTIC,1690,GALLOWAY TWP,48.0,SMITHVILLE ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,83,752,2.4,13.3,32.5,44.6,7.2,3,*,*,81,749,8.6,12.3,29.6,45.7,3.7
01,ATLANTIC,1690,GALLOWAY TWP,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,317,11,306,748,5.6,16,32,40.2,6.2,3,315,11,304,743,11.5,18.1,26,42.4,2
01,ATLANTIC,1940,HAMILTON TWP,55.0,GEORGE L. HESS EDUCATIONAL COMPLEX,CD,TOTAL,ALL STUDENTS,298,16,282,741,6.7,20.9,35.8,30.5,6,3,298,12,286,739,16.1,20.6,24.1,36,3.1
01,ATLANTIC,1940,HAMILTON TWP,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,298,16,282,741,6.7,20.9,35.8,30.5,6,3,298,12,286,739,16.1,20.6,24.1,36,3.1
01,ATLANTIC,1960,HAMMONTON TOWN,55.0,WARREN E. SOOY JR. ELEMENTARY SCHOOL,B,TOTAL,ALL STUDENTS,*,*,198,738,12.1,18.7,33.3,30.3,5.6,3,*,*,197,735,23.4,15.7,21.3,37.1,2.5
01,ATLANTIC,1960,HAMMONTON TOWN,,DISTRICT WIDE,B,TOTAL,ALL STUDENTS,*,*,198,738,12.1,18.7,33.3,30.3,5.6,3,*,*,197,735,23.4,15.7,21.3,37.1,2.5
01,ATLANTIC,2680,LINWOOD CITY,50.0,SEAVIEW ELEMENTARY SCHOOL,GH,TOTAL,ALL STUDENTS,*,*,91,770,1.1,3.3,13.2,69.2,13.2,3,*,*,90,767,6.7,4.4,20,57.8,11.1
01,ATLANTIC,2680,LINWOOD CITY,,DISTRICT WIDE,GH,TOTAL,ALL STUDENTS,*,*,91,770,1.1,3.3,13.2,69.2,13.2,3,*,*,90,767,6.7,4.4,20,57.8,11.1
01,ATLANTIC,3020,MARGATE CITY,25.0,WILLIAM H. ROSS III SCHOOL,DE,TOTAL,ALL STUDENTS,*,*,40,766,0,12.5,15,52.5,20,3,*,*,40,769,2.5,7.5,15,67.5,7.5
01,ATLANTIC,3020,MARGATE CITY,,DISTRICT WIDE,DE,TOTAL,ALL STUDENTS,*,*,40,766,0,12.5,15,52.5,20,3,*,*,40,769,2.5,7.5,15,67.5,7.5
01,ATLANTIC,3480,MULLICA TWP,20.0,MULLICA TOWNSHIP PRIMARY SCHOOL,B,TOTAL,ALL STUDENTS,*,*,72,748,1.4,9.7,45.8,37.5,5.6,3,*,*,72,731,19.4,23.6,27.8,29.2,0
01,ATLANTIC,3480,MULLICA TWP,,DISTRICT WIDE,B,TOTAL,ALL STUDENTS,*,*,72,748,1.4,9.7,45.8,37.5,5.6,3,*,*,72,731,19.4,23.6,27.8,29.2,0
01,ATLANTIC,3720,NORTHFIELD CITY,57.0,NORTHFIELD COMMUNITY ELEMENTARY SCHOOL,DE,TOTAL,ALL STUDENTS,*,*,86,760,1.2,10.5,27.9,44.2,16.3,3,*,*,86,750,7,16.3,22.1,51.2,3.5
01,ATLANTIC,3720,NORTHFIELD CITY,,DISTRICT WIDE,DE,TOTAL,ALL STUDENTS,*,*,87,759,1.1,10.3,28.7,43.7,16.1,3,*,*,87,750,6.9,17.2,21.8,50.6,3.4
01,ATLANTIC,4180,PLEASANTVILLE CITY,60.0,WASHINGTON AVENUE ELEMENTARY SCHOOL,A,TOTAL,ALL STUDENTS,*,*,41,730,12.2,26.8,39,19.5,2.4,3,*,*,39,713,35.9,28.2,15.4,20.5,0
01,ATLANTIC,4180,PLEASANTVILLE CITY,80.0,LEEDS AVENUE ELEMENTARY SCHOOL,A,TOTAL,ALL STUDENTS,*,*,80,731,10,32.5,33.8,22.5,1.3,3,*,*,80,726,26.3,25,31.3,16.3,1.3
01,ATLANTIC,4180,PLEASANTVILLE CITY,85.0,NORTH MAIN ST ELEMENTARY SCHOOL,A,TOTAL,ALL STUDENTS,*,*,47,731,8.5,31.9,34,25.5,0,3,*,*,47,723,23.4,34,21.3,19.1,2.1
01,ATLANTIC,4180,PLEASANTVILLE CITY,95.0,SOUTH MAIN STREET ELEMENTARY SCHOOL,A,TOTAL,ALL STUDENTS,*,*,90,739,6.7,22.2,40,27.8,3.3,3,*,*,90,725,24.4,32.2,17.8,25.6,0
01,ATLANTIC,4180,PLEASANTVILLE CITY,,DISTRICT WIDE,A,TOTAL,ALL STUDENTS,276,18,258,734,8.9,27.9,36.8,24.4,1.9,3,272,16,256,723,26.6,29.7,22.3,20.7,.8
01,ATLANTIC,4240,PORT REPUBLIC CITY,50.0,PORT REPUBLIC SCHOOL DISTRICT,FG,TOTAL,ALL STUDENTS,*,*,15,745,0,13.3,46.7,33.3,6.7,3,*,*,15,750,6.7,13.3,26.7,53.3,0
01,ATLANTIC,4240,PORT REPUBLIC CITY,,DISTRICT WIDE,FG,TOTAL,ALL STUDENTS,*,*,15,745,0,13.3,46.7,33.3,6.7,3,*,*,15,750,6.7,13.3,26.7,53.3,0
01,ATLANTIC,4800,SOMERS POINT CITY,50.0,DAWES AVENUE ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,46,724,26.1,28.3,23.9,21.7,0,3,*,*,44,722,29.5,18.2,25,25,2.3
01,ATLANTIC,4800,SOMERS POINT CITY,55.0,JORDAN ROAD ELEMENTARY SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,52,725,25,30.8,19.2,21.2,3.8,3,*,*,53,720,35.8,26.4,15.1,20.8,1.9
01,ATLANTIC,4800,SOMERS POINT CITY,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,109,11,98,724,25.5,29.6,21.4,21.4,2,3,109,12,97,721,33,22.7,19.6,22.7,2.1
01,ATLANTIC,5350,VENTNOR CITY,45.0,VENTNOR ELEMENTARY SCHOOL,B,TOTAL,ALL STUDENTS,*,*,72,750,8.3,13.9,23.6,40.3,13.9,3,*,*,71,749,9.9,16.9,21.1,47.9,4.2
01,ATLANTIC,5350,VENTNOR CITY,,DISTRICT WIDE,B,TOTAL,ALL STUDENTS,*,*,72,750,8.3,13.9,23.6,40.3,13.9,3,*,*,71,749,9.9,16.9,21.1,47.9,4.2
01,ATLANTIC,5760,WEYMOUTH TWP,20.0,WEYMOUTH TOWNSHIP ELEMENTARY SCHOOL,B,TOTAL,ALL STUDENTS,*,*,25,726,16,24,40,20,0,3,*,*,24,739,12.5,25,25,37.5,0
01,ATLANTIC,5760,WEYMOUTH TWP,,DISTRICT WIDE,B,TOTAL,ALL STUDENTS,*,*,25,726,16,24,40,20,0,3,*,*,24,739,12.5,25,25,37.5,0
03,BERGEN,0040,ALLENDALE BORO,20.0,HILLSIDE ELEMENTARY SCHOOL,I,TOTAL,ALL STUDENTS,*,*,93,770,1.1,6.5,15.1,54.8,22.6,3,*,*,94,781,1.1,7.4,10.6,60.6,20.2
03,BERGEN,0040,ALLENDALE BORO,,DISTRICT WIDE,I,TOTAL,ALL STUDENTS,*,*,94,770,1.1,6.4,14.9,55.3,22.3,3,*,*,94,781,1.1,7.4,10.6,60.6,20.2
03,BERGEN,0080,ALPINE BORO,10.0,ALPINE ELEMENTARY SCHOOL,I,TOTAL,ALL STUDENTS,*,*,18,762,0,16.7,27.8,33.3,22.2,3,*,*,18,781,0,0,22.2,61.1,16.7
03,BERGEN,0080,ALPINE BORO,,DISTRICT WIDE,I,TOTAL,ALL STUDENTS,*,*,18,762,0,16.7,27.8,33.3,22.2,3,*,*,18,781,0,0,22.2,61.1,16.7
03,BERGEN,0300,BERGENFIELD BORO,40.0,FRANKLIN ELEMENTARY SCHOOL,FG,TOTAL,ALL STUDENTS,*,*,63,748,7.9,14.3,27,39.7,11.1,3,*,*,62,745,9.7,14.5,35.5,40.3,0
03,BERGEN,0300,BERGENFIELD BORO,50.0,HOOVER ELEMENTARY SCHOOL,FG,TOTAL,ALL STUDENTS,*,*,38,755,7.9,7.9,26.3,44.7,13.2,3,*,*,39,747,12.8,12.8,28.2,38.5,7.7
03,BERGEN,0300,BERGENFIELD BORO,60.0,JEFFERSON ELEMENTARY SCHOOL,FG,TOTAL,ALL STUDENTS,*,*,42,742,7.1,23.8,28.6,35.7,4.8,3,*,*,42,748,7.1,16.7,23.8,52.4,0
03,BERGEN,0300,BERGENFIELD BORO,70.0,LINCOLN ELEMENTARY SCHOOL,FG,TOTAL,ALL STUDENTS,*,*,50,747,8,12,26,44,10,3,*,*,50,756,14,12,12,54,8
03,BERGEN,0300,BERGENFIELD BORO,80.0,WASHINGTON ELEMENTARY SCHOOL,FG,TOTAL,ALL STUDENTS,*,*,62,753,0,16.1,35.5,37.1,11.3,3,*,*,62,755,3.2,21,22.6,45.2,8.1
03,BERGEN,0300,BERGENFIELD BORO,,DISTRICT WIDE,FG,TOTAL,ALL STUDENTS,*,*,255,749,5.9,14.9,29,40,10.2,3,*,*,255,750,9,15.7,24.7,45.9,4.7
03,BERGEN,0440,BOGOTA BORO,30.0,E. ROY BIXBY,DE,TOTAL,ALL STUDENTS,*,*,37,752,2.7,10.8,29.7,48.6,8.1,3,*,*,36,741,16.7,16.7,25,38.9,2.8
03,BERGEN,0440,BOGOTA BORO,50.0,LILLIAN M. STEEN,DE,TOTAL,ALL STUDENTS,*,*,36,745,0,16.7,47.2,30.6,5.6,3,*,*,36,744,5.6,22.2,30.6,38.9,2.8
03,BERGEN,0440,BOGOTA BORO,,DISTRICT WIDE,DE,TOTAL,ALL STUDENTS,*,*,73,749,1.4,13.7,38.4,39.7,6.8,3,*,*,72,742,11.1,19.4,27.8,38.9,2.8
03,BERGEN,0740,CARLSTADT BORO,50.0,CARLSTADT PUBLIC SCHOOL,DE,TOTAL,ALL STUDENTS,*,*,57,744,5.3,15.8,42.1,33.3,3.5,3,*,*,57,742,8.8,26.3,26.3,31.6,7
03,BERGEN,0740,CARLSTADT BORO,,DISTRICT WIDE,DE,TOTAL,ALL STUDENTS,*,*,57,744,5.3,15.8,42.1,33.3,3.5,3,*,*,57,742,8.8,26.3,26.3,31.6,7
03,BERGEN,0890,CLIFFSIDE PARK BORO,50.0,SCHOOL #3,B,TOTAL,ALL STUDENTS,*,*,46,752,0,13,43.5,32.6,10.9,3,*,*,44,753,2.3,18.2,25,52.3,2.3
03,BERGEN,0890,CLIFFSIDE PARK BORO,60.0,SCHOOL #4,B,TOTAL,ALL STUDENTS,*,*,57,751,7,22.8,19.3,33.3,17.5,3,*,*,57,745,19.3,14,19.3,36.8,10.5
03,BERGEN,0890,CLIFFSIDE PARK BORO,70.0,SCHOOL #5,B,TOTAL,ALL STUDENTS,*,*,30,754,0,6.7,46.7,36.7,10,3,*,*,28,755,0,28.6,17.9,46.4,7.1
03,BERGEN,0890,CLIFFSIDE PARK BORO,80.0,SCHOOL #6,B,TOTAL,ALL STUDENTS,*,*,55,754,1.8,5.5,32.7,50.9,9.1,3,*,*,55,752,3.6,10.9,32.7,52.7,0
03,BERGEN,0890,CLIFFSIDE PARK BORO,,DISTRICT WIDE,B,TOTAL,ALL STUDENTS,*,*,188,752,2.7,12.8,33.5,38.8,12.2,3,197,13,184,751,7.6,16.3,24.5,46.7,4.9
03,BERGEN,0930,CLOSTER BORO,50.0,HILLSIDE ELEMENTARY SCHOOL,I,TOTAL,ALL STUDENTS,*,*,102,768,1,4.9,15.7,56.9,21.6,3,*,*,101,769,3,6.9,13.9,63.4,12.9
03,BERGEN,0930,CLOSTER BORO,,DISTRICT WIDE,I,TOTAL,ALL STUDENTS,*,*,102,768,1,4.9,15.7,56.9,21.6,3,*,*,101,769,3,6.9,13.9,63.4,12.9
03,BERGEN,0990,CRESSKILL BORO,50.0,EDWARD H. BRYAN,I,TOTAL,ALL STUDENTS,*,*,58,753,1.7,20.7,22.4,44.8,10.3,3,*,*,57,762,1.8,14,19.3,57.9,7
03,BERGEN,0990,CRESSKILL BORO,60.0,MERRITT MEMORIAL,I,TOTAL,ALL STUDENTS,*,*,50,755,2,8,24,58,8,3,*,*,47,763,4.3,8.5,14.9,66,6.4
03,BERGEN,0990,CRESSKILL BORO,,DISTRICT WIDE,I,TOTAL,ALL STUDENTS,*,*,108,754,1.9,14.8,23.1,50.9,9.3,3,*,*,104,762,2.9,11.5,17.3,61.5,6.7
03,BERGEN,1070,DEMAREST BORO,50.0,LUTHER LEE EMERSON SCHOOL,I,TOTAL,ALL STUDENTS,*,*,78,769,2.6,2.6,17.9,57.7,19.2,3,*,*,78,789,2.6,2.6,5.1,61.5,28.2
03,BERGEN,1070,DEMAREST BORO,,DISTRICT WIDE,I,TOTAL,ALL STUDENTS,*,*,78,769,2.6,2.6,17.9,57.7,19.2,3,*,*,78,789,2.6,2.6,5.1,61.5,28.2
03,BERGEN,1130,DUMONT BORO,50.0,GRANT ELEMENTARY SCHOOL,FG,TOTAL,ALL STUDENTS,*,*,54,754,0,9.3,33.3,51.9,5.6,3,*,*,54,759,1.9,9.3,27.8,53.7,7.4
03,BERGEN,1130,DUMONT BORO,60.0,HONISS ELEMENTARY\MIDDLE SCHOOL,FG,TOTAL,ALL STUDENTS,*,*,41,756,2.4,7.3,34.1,41.5,14.6,3,*,*,41,765,4.9,4.9,19.5,61,9.8
03,BERGEN,1130,DUMONT BORO,70.0,LINCOLN ELEMENTARY SCHOOL,FG,TOTAL,ALL STUDENTS,*,*,33,752,3,12.1,42.4,30.3,12.1,3,*,*,33,762,0,6.1,36.4,48.5,9.1
03,BERGEN,1130,DUMONT BORO,80.0,SELZER ELEMENTARY\MIDDLE SCHOOL,FG,TOTAL,ALL STUDENTS,*,*,44,744,2.3,13.6,40.9,40.9,2.3,3,*,*,43,743,9.3,9.3,39.5,41.9,0
03,BERGEN,1130,DUMONT BORO,,DISTRICT WIDE,FG,TOTAL,ALL STUDENTS,*,*,172,752,1.7,10.5,37.2,42.4,8.1,3,*,*,171,757,4.1,7.6,30.4,51.5,6.4
03,BERGEN,1230,EAST RUTHERFORD BORO,80.0,MCKENZIE SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,74,748,4.1,10.8,41.9,32.4,10.8,3,*,*,74,750,12.2,12.2,20.3,52.7,2.7
03,BERGEN,1230,EAST RUTHERFORD BORO,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,*,*,74,748,4.1,10.8,41.9,32.4,10.8,3,*,*,74,750,12.2,12.2,20.3,52.7,2.7
03,BERGEN,1270,EDGEWATER BORO,50.0,ELEANOR VAN GELDER,GH,TOTAL,ALL STUDENTS,*,*,103,754,6.8,11.7,27.2,38.8,15.5,3,*,*,100,751,10,14,28,40,8
03,BERGEN,1270,EDGEWATER BORO,,DISTRICT WIDE,GH,TOTAL,ALL STUDENTS,*,*,103,754,6.8,11.7,27.2,38.8,15.5,3,*,*,100,751,10,14,28,40,8
03,BERGEN,1345,ELMWOOD PARK,70.0,GANTNER AVENUE SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,54,729,14.8,22.2,40.7,22.2,0,3,*,*,54,738,11.1,20.4,29.6,38.9,0
03,BERGEN,1345,ELMWOOD PARK,80.0,GILBERT AVENUE SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,50,737,6,28,32,34,0,3,*,*,47,748,8.5,14.9,25.5,51.1,0
03,BERGEN,1345,ELMWOOD PARK,90.0,SIXTEENTH AVENUE SCHOOL,CD,TOTAL,ALL STUDENTS,*,*,75,732,12,24,37.3,25.3,1.3,3,*,*,74,742,13.5,13.5,29.7,41.9,1.4
03,BERGEN,1345,ELMWOOD PARK,,DISTRICT WIDE,CD,TOTAL,ALL STUDENTS,193,14,179,733,11.2,24.6,36.9,26.8,.6,3,190,15,175,742,11.4,16,28.6,43.4,.6
03,BERGEN,1360,EMERSON BORO,60.0,PATRICK M VILLANO SCHOOL,GH,TOTAL,ALL STUDENTS,*,*,91,748,2.2,18.7,28.6,44,6.6,3,*,*,91,761,2.2,17.6,18.7,50.5,11
03,BERGEN,1360,EMERSON BORO,,DISTRICT WIDE,GH,TOTAL,ALL STUDENTS,*,*,91,748,2.2,18.7,28.6,44,6.6,3,*,*,91,761,2.2,17.6,18.7,50.5,11
03,BERGEN,1370,ENGLEWOOD CITY,86.0,DR. JOHN GRIECO ELEMENTARY SCHOOL,DE,TOTAL,ALL STUDENTS,*,*,176,746,1.7,17.6,36.4,38.6,5.7,3,*,*,175,746,7.4,14.9,33.1,41.1,3.4
03,BERGEN,1370,ENGLEWOOD CITY,,DISTRICT WIDE,DE,TOTAL,ALL STUDENTS,*,*,176,746,1.7,17.6,36.4,38.6,5.7,3,*,*,175,746,7.4,14.9,33.1,41.1,3.4
03,BERGEN,1380,ENGLEWOOD CLIFFS BORO,60.0,UPPER SCHOOL,I,TOTAL,ALL STUDENTS,*,*,75,761,2.7,16,25.3,33.3,22.7,3,*,*,74,756,9.5,14.9,18.9,50,6.8
03,BERGEN,1380,ENGLEWOOD CLIFFS BORO,,DISTRICT WIDE,I,TOTAL,ALL STUDENTS,*,*,75,761,2.7,16,25.3,33.3,22.7,3,*,*,74,756,9.5,14.9,18.9,50,6.8
03,BERGEN,1450,FAIR LAWN BORO,80.0,HENRY B. MILNES ELEMENTARY SCHOOL,GH,TOTAL,ALL STUDENTS,*,*,85,772,0,5.9,16.5,47.1,30.6,3,*,*,84,773,4.8,7.1,20.2,48.8,19
03,BERGEN,1450,FAIR LAWN BORO,85.0,JOHN A. FORREST ELEMENTARY SCHOOL,GH,TOTAL,ALL STUDENTS,*,*,35,752,2.9,11.4,25.7,51.4,8.6,3,*,*,36,746,11.1,16.7,16.7,55.6,0
03,BERGEN,1450,FAIR LAWN BORO,100.0,LYNCREST ELEMENTARY SCHOOL,GH,TOTAL,ALL STUDENTS,*,*,27,779,0,0,14.8,44.4,40.7,3,*,*,27,779,0,7.4,25.9,33.3,33.3
03,BERGEN,1450,FAIR LAWN BORO,110.0,RADBURN ELEMENTARY SCHOOL,GH,TOTAL,ALL STUDENTS,*,*,72,766,4.2,5.6,13.9,56.9,19.4,3,*,*,72,774,4.2,4.2,11.1,61.1,19.4
03,BERGEN,1450,FAIR LAWN BORO,140.0,WARREN POINT ELEMENTARY SCHOOL,GH,TOTAL,ALL STUDENTS,*,*,58,766,1.7,8.6,17.2,55.2,17.2,3,*,*,58,759,8.6,6.9,22.4,55.2,6.9
03,BERGEN,1450,FAIR LAWN BORO,160.0,WESTMORELAND ELEMENTARY SCHOOL,GH,TOTAL,ALL STUDENTS,*,*,39,765,5.1,10.3,17.9,43.6,23.1,3,*,*,39,769,7.7,10.3,12.8,48.7,20.5
03,BERGEN,1450,FAIR LAWN BORO,,DISTRICT WIDE,GH,TOTAL,ALL STUDENTS,338,22,316,767,2.2,7,17.1,50.6,23.1,3,335,19,316,767,6,7.9,17.7,52.2,16.1
03,BERGEN,1470,FAIRVIEW BORO,80.0,NUMBER THREE SCHOOL,A,TOTAL,ALL STUDENTS,*,*,156,731,12.2,26.3,35.9,25.6,0,3,*,*,149,730,22.1,18.8,28.9,28.9,1.3
